"id","categoria","procedimento","objetivo","nome_transacao","quando_usar","pre_requisitos","passo_a_passo","resultado_esperado","observacoes"
"PROC001","Notas Fiscais","Emissão de NF-e","Emitir uma Nota Fiscal Eletrônica para uma venda ou operação de saída.","NF001 - Emitir Nota Fiscal","Quando for necessário gerar uma NF-e para uma operação de saída.","Pedido aprovado; cliente cadastrado; produtos cadastrados; endereço de entrega válido.","1) Acesse NF001 - Emitir Nota Fiscal. 2) Clique em Nova NF. 3) Informe o pedido. 4) Confira cliente e endereço. 5) Confira produtos, quantidades e valores. 6) Informe transportadora e modalidade de frete. 7) Clique em Validar. 8) Clique em Emitir NF-e.","A NF-e é autorizada e recebe número, série e chave de acesso.","Se houver erro de validação, corrija os dados indicados antes de tentar emitir novamente."
"PROC002","Notas Fiscais","Consulta de NF-e","Consultar dados, status e informações de uma NF-e já emitida.","NF002 - Consultar NF","Quando precisar verificar número, chave, status, cliente ou itens da nota.","Número da NF, pedido ou chave de acesso.","1) Acesse NF002 - Consultar NF. 2) Informe o número da NF ou pedido. 3) Clique em Pesquisar. 4) Selecione a nota desejada. 5) Consulte os dados e o status.","Os dados da NF-e são exibidos para consulta.","Status Autorizada significa que a nota foi aprovada pela SEFAZ no ambiente fictício."
"PROC003","Notas Fiscais","Cancelamento de NF-e","Cancelar uma NF-e emitida quando a operação ainda permitir cancelamento.","NF003 - Cancelar NF","Quando uma NF-e precisar ser cancelada por erro de emissão ou desistência da operação.","NF-e autorizada; nota dentro do prazo de cancelamento; usuário com permissão de cancelamento.","1) Acesse NF003 - Cancelar NF. 2) Informe o número da NF. 3) Confira os dados. 4) Informe o motivo do cancelamento. 5) Clique em Solicitar Cancelamento. 6) Confirme a operação.","A NF-e passa para o status Cancelada.","Não cancele uma nota apenas por dúvida. Confirme o motivo e a autorização interna antes de concluir."
"PROC004","Transporte","Criação de Documento de Transporte","Criar um documento para registrar uma operação de transporte.","TR001 - Criar Documento de Transporte","Quando uma carga precisar ser programada e vinculada a um veículo e motorista.","Pedido ou NF-e disponível; motorista cadastrado; veículo cadastrado.","1) Acesse TR001 - Criar Documento de Transporte. 2) Clique em Novo Documento. 3) Informe origem e destino. 4) Vincule a NF-e. 5) Selecione motorista. 6) Selecione veículo. 7) Informe data prevista. 8) Salve o documento.","O documento de transporte é criado com um número identificador.","Revise origem, destino, motorista e veículo antes de salvar."
"PROC005","Transporte","Consulta de Documento de Transporte","Localizar um documento de transporte e consultar seu andamento.","TR002 - Consultar Transporte","Quando precisar acompanhar uma viagem ou confirmar dados do transporte.","Número do documento, NF-e ou placa do veículo.","1) Acesse TR002 - Consultar Transporte. 2) Informe um filtro. 3) Clique em Pesquisar. 4) Abra o documento. 5) Consulte status, carga, motorista e veículo.","O documento e seu status atual são exibidos.","Use filtros por data quando houver muitos registros."
"PROC006","Motoristas","Cadastro de Motorista","Cadastrar um novo motorista para permitir sua utilização nas operações de transporte.","CAD001 - Cadastro de Motorista","Quando um motorista novo começar a operar na empresa.","Nome completo; CPF; CNH; categoria da CNH; validade da CNH; telefone.","1) Acesse CAD001 - Cadastro de Motorista. 2) Clique em Novo. 3) Informe os dados pessoais. 4) Informe os dados da CNH. 5) Informe contato. 6) Clique em Validar. 7) Clique em Salvar.","O motorista é cadastrado e recebe um código interno.","Confira CPF e validade da CNH antes de salvar."
"PROC007","Motoristas","Inativação de Motorista","Impedir que um motorista deixe de aparecer para novas operações.","CAD002 - Inativar Motorista","Quando o motorista não estiver mais disponível para operações.","Motorista cadastrado; nenhuma operação futura impedindo a inativação.","1) Acesse CAD002 - Inativar Motorista. 2) Localize o motorista. 3) Confira o cadastro. 4) Informe o motivo. 5) Clique em Inativar. 6) Confirme.","O cadastro fica com status Inativo e não aparece em novas operações.","O histórico do motorista permanece disponível para consulta."
"PROC008","Veículos","Cadastro de Veículo","Cadastrar um veículo que será utilizado nas operações de transporte.","CAD003 - Cadastro de Veículo","Quando a empresa adicionar um novo veículo à operação.","Placa; modelo; tipo; capacidade de carga; ano; situação do veículo.","1) Acesse CAD003 - Cadastro de Veículo. 2) Clique em Novo. 3) Informe placa e dados do veículo. 4) Informe capacidade. 5) Confira a situação. 6) Clique em Salvar.","O veículo é cadastrado e fica disponível para vinculação aos transportes.","A placa deve ser única no sistema."
"PROC009","Pedidos","Criação de Pedido","Criar um pedido comercial ou operacional para iniciar o processo de atendimento.","PED001 - Criar Pedido","Quando uma nova solicitação de venda ou movimentação precisar ser registrada.","Cliente cadastrado; produtos cadastrados; condição comercial definida.","1) Acesse PED001 - Criar Pedido. 2) Clique em Novo Pedido. 3) Selecione o cliente. 4) Adicione os produtos. 5) Informe quantidades. 6) Confira preços e condições. 7) Informe endereço de entrega. 8) Salve o pedido.","O pedido é criado com status Pendente.","O pedido só pode ser liberado para faturamento após aprovação."
"PROC010","Pedidos","Aprovação de Pedido","Liberar um pedido para as próximas etapas do processo.","PED002 - Aprovar Pedido","Quando o pedido estiver pronto para seguir para separação ou faturamento.","Pedido criado; dados comerciais conferidos; usuário com permissão de aprovação.","1) Acesse PED002 - Aprovar Pedido. 2) Localize o pedido. 3) Revise cliente, itens e valores. 4) Clique em Aprovar. 5) Confirme a operação.","O pedido passa para status Aprovado.","Pedidos com dados incorretos devem ser devolvidos para ajuste em vez de aprovados."
"PROC011","Produtos","Cadastro de Produto","Cadastrar um novo produto para uso em pedidos e notas fiscais.","CAD004 - Cadastro de Produto","Quando um produto novo precisar ser incluído no sistema.","Descrição; unidade de medida; código interno; categoria; peso e dados fiscais básicos.","1) Acesse CAD004 - Cadastro de Produto. 2) Clique em Novo Produto. 3) Informe código e descrição. 4) Selecione unidade. 5) Informe categoria e peso. 6) Preencha dados fiscais básicos. 7) Clique em Validar. 8) Salve.","O produto fica cadastrado e disponível para pedidos.","Não crie códigos duplicados para produtos já existentes."
"PROC012","Produtos","Alteração de Produto","Atualizar informações permitidas de um produto já cadastrado.","CAD005 - Alterar Produto","Quando houver necessidade de corrigir ou atualizar dados cadastrais.","Produto existente; permissão de alteração.","1) Acesse CAD005 - Alterar Produto. 2) Pesquise o produto. 3) Abra o cadastro. 4) Edite os campos permitidos. 5) Clique em Validar. 6) Salve.","O cadastro do produto é atualizado.","Campos fiscais críticos podem exigir aprovação de um responsável."
"PROC013","Clientes","Cadastro de Cliente","Cadastrar um cliente para permitir pedidos e faturamento.","CAD006 - Cadastro de Cliente","Quando um novo cliente precisar ser incluído no sistema.","Razão social ou nome; CPF/CNPJ; endereço; cidade; estado; contato.","1) Acesse CAD006 - Cadastro de Cliente. 2) Clique em Novo. 3) Informe CPF/CNPJ. 4) Preencha dados da empresa ou pessoa. 5) Informe endereço. 6) Informe contato. 7) Valide os dados. 8) Salve.","O cliente recebe um código e fica disponível para pedidos.","Antes de cadastrar, pesquise pelo CPF/CNPJ para evitar duplicidade."
